CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
64,688,342,357,28,424,618,8.6,1.853136636,62623,77359,7.0,160,852,121,38.2,876,28.5,92.8,1.383858042,1.161207615,3.281524764,48,8,1.620210035,2707,2.8,219.1,151,0.195247298,651,1829,123,279,0,84.8,208,4.0,371,9.2,30.6,214,0,10.6,406,297,240.4,2291,21,0,1781,385,3022,78,397,9.4,69991,5.3,135
438,3825,1439,1574,-87,1995,3393,6.5,7.599712989,33841,41815,11.4,1276,4226,1281,50.8,5660,31.3,79.9,0.942635024,4.054683666,16.4036535,270,71,5.885831128,12915,3.9,188.2,117,0.396898957,1397,4869,1511,1587,2,75.0,117,14.2,118,7.0,34.6,1662,2,8.4,1442,1407,207.6,11146,281,993,4599,1247,13593,207,1965,14.9,37828,11.5,937
578,3982,1911,1726,-54,2938,3516,7.5,5.501141208,50267,60761,8.8,1429,6220,1396,44.0,7172,31.6,116.2,7.38083144,18.24518437,44.04762162,444,267,10.72321578,15772,3.5,306.1,237,0.160383126,4759,10254,1672,2406,11,97.6,63,15.2,291,9.6,32.6,2102,9,7.5,2280,2451,386.0,16317,2900,1504,9810,1617,19383,370,2706,12.9,55514,8.6,1348
420,2965,1258,1389,239,2609,3873,6.1,7.972836371,45148,54352,9.8,1069,4439,1009,45.4,4978,34.0,100.6,3.444005387,6.765268444,20.06656598,345,174,5.481889078,12392,3.8,246.3,202,0.166063153,1985,4812,1004,1631,23,91.7,508,11.9,562,6.9,32.4,1454,2,8.9,1562,1135,278.8,10962,90,98,4467,1356,13602,415,2034,13.3,49750,9.2,628
939,7635,9117,7701,2139,5816,11868,8.6,36.06135213,76485,93293,5.2,2222,8390,1769,38.7,16407,15.8,92.8,26.92936463,22.59666982,63.85725572,768,797,31.5286868,55642,2.2,219.1,506,3.799440058,13882,33445,1815,3099,31,84.8,423,4.4,324,9.2,30.6,3327,9,14.3,8470,7265,240.4,42342,899,284,32677,9126,58807,1015,6519,7.9,84889,4.2,1694
1127,5191,5319,3930,-76,4046,6747,6.7,18.21850207,35449,42811,5.9,2394,7290,2641,45.4,18519,14.8,65.9,1.777009774,19.58032265,56.15018734,1061,1547,34.64338681,28662,2.8,174.8,399,1.64414923,11040,22521,2413,2460,42,61.2,115,7.1,74,7.1,37.1,4229,5,11.5,7448,15527,191.3,40770,18629,4570,21460,5064,49599,604,4350,10.4,39130,6.5,1455
1256,10374,6518,6988,639,6018,9202,7.6,22.92721201,55142,63744,8.5,3465,10163,4214,47.6,19496,19.7,77.3,11.89801634,23.83223354,77.90425302,960,731,35.40444212,49482,3.1,214.6,13,1.267030137,10077,26425,4540,3488,25,72.9,164,7.9,259,8.3,36.1,5213,45,12.2,7428,7375,230.9,40921,2367,1719,25465,7093,53920,1151,7056,12.7,59443,10.3,1956
1040,9879,4446,4180,-48,4209,6815,6.1,11.56944429,34450,42264,8.9,2422,7974,2831,49.3,13358,22.3,79.1,11.28453274,16.88440155,43.37439273,616,336,16.33153746,23701,3.8,202.9,33,0.491811616,3358,15646,4127,2612,34,71.9,174,12.6,315,7.0,36.8,4177,3,13.2,4536,4804,228.7,27116,10759,2379,15030,4843,35680,676,4473,15.4,38357,10.4,1577
962,8844,4339,4414,-251,4614,9178,5.8,16.556334,47415,55101,8.7,2429,9382,2771,49.9,13943,26.3,99.6,6.815061831,26.39332333,58.48045032,951,119,13.57269337,32735,3.4,240.5,28,0.511403115,4510,15224,3056,3055,4,87.2,233,12.9,348,7.0,34.0,3321,3,9.9,3993,4115,284.4,27952,1392,2681,14273,3600,34844,361,4768,11.9,51258,9.9,1946
72,565,262,213,23,387,730,6.3,1.541062784,41488,51788,9.5,188,865,170,45.7,906,34.3,88.0,0.716693257,1.037999248,3.284556956,31,12,1.41443549,2416,3.6,206.5,22,0.119736013,465,1467,96,298,1,80.5,11,8.4,82,6.8,33.8,268,0,12.8,255,233,227.6,1982,22,40,1436,317,2508,46,329,13.5,46638,8.6,214
