CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
1280,11508,4629,4868,-228,6398,12044,5.8,21.26465433,44626,50088,9.0,3161,13432,3387,51.9,18255,29.3,99.6,8.753141492,33.89910455,75.11122699,1041,298,17.43252056,38350,3.6,240.5,141,0.656836862,6159,21904,2269,4181,19,87.2,129,12.3,110,7.0,38.9,4459,14,9.8,5422,4818,284.4,35194,4608,836,20863,5038,44753,1349,6410,12.7,47357,9.6,2989
159,1447,861,623,-3,942,1542,6.2,4.544252017,46483,57655,7.0,383,1894,370,43.3,2362,26.9,88.2,2.964583459,3.224255002,9.899977608,124,41,3.768843935,6670,2.9,214.5,116,0.335409077,1292,3608,320,552,8,80.3,35,9.1,274,6.8,35.6,559,2,11.5,982,913,239.2,5450,98,467,3484,841,6958,106,856,10.3,52069,6.8,388
2995,23327,13284,13819,1250,13964,23397,6.2,57.52757887,45206,52382,7.1,7216,25531,7941,39.9,40363,21.0,80.1,25.77805649,52.51449639,158.5510205,1894,2584,52.12131345,111007,3.0,205.0,88,1.695601428,18953,56262,11698,9422,38,72.3,351,9.5,21,7.0,29.0,11065,24,9.7,17861,23575,229.5,101225,8759,7130,54368,12627,124937,2198,15584,10.9,48794,7.8,4801
266,2000,874,864,90,1180,1542,5.4,2.841218326,44126,54294,10.9,724,2691,694,51.8,3427,32.7,72.9,1.727136775,3.210115587,10.01993537,121,66,2.926348463,8058,4.0,199.9,190,0.154593964,1288,3648,1095,925,6,66.5,158,14.6,195,6.2,36.5,992,25,10.7,992,882,224.8,6611,82,216,3527,1048,8484,114,1103,15.0,49210,10.5,616
447,4341,2351,1993,281,2226,3689,8.6,11.57934451,45371,54053,8.2,1115,4501,924,38.0,5198,24.8,92.8,8.647052089,7.255818461,20.50464332,247,2149,10.12390009,15732,3.3,219.1,18,1.220004874,2469,9519,1813,1217,79,84.8,284,9.4,394,9.2,31.6,1543,114,16.3,2526,2125,240.4,13675,262,621,9272,3082,18883,377,2381,11.3,49712,6.8,982
1180,12446,5120,4845,-146,5781,8767,5.8,24.79760106,42529,50495,9.8,3259,10951,3304,53.5,17785,24.7,73.9,14.13243813,14.47258221,51.15328148,730,314,12.40977292,37306,3.5,189.1,65,1.371548731,5261,18519,3830,3689,22,68.5,2573,12.6,112,6.2,38.6,4635,6,11.5,5700,4855,206.7,33253,921,540,17789,5264,43265,2129,5746,13.9,46512,9.9,2265
552,5277,3129,2987,43,2395,4408,7.8,9.00234293,53178,64108,7.7,1334,4024,1549,45.2,7835,17.2,84.1,3.853123341,12.59423757,37.6420511,462,1025,11.87585864,16204,3.2,231.8,31,0.793733361,2994,9992,2608,1358,47,75.8,426,8.3,347,9.1,33.9,2240,6,12.1,3332,3027,260.3,17352,4984,272,9530,3271,23410,724,3186,12.9,58643,8.9,725
517,4440,3952,3357,939,2678,6220,5.5,15.47294164,56348,67506,6.0,1171,4382,1223,41.4,8032,16.0,73.9,10.3712342,6.528171688,23.41079564,305,197,11.54596946,28184,2.7,181.6,329,0.755186956,3616,13488,1749,1460,36,68.9,394,5.4,333,5.8,34.4,1855,2,16.3,5493,3361,192.6,19399,132,111,13183,5355,29439,496,3065,9.6,61927,6.3,718
6253,38289,30303,26985,-1316,25618,41976,6.9,86.27995379,47820,51460,8.1,13991,44214,14595,51.7,89485,19.5,77.2,24.71080047,105.5405216,292.9269095,4219,7203,117.1800015,81145,3.6,196.7,44,4.665029621,48131,105579,21646,14341,215,71.2,760,9.7,28,7.6,36.6,27581,17,13.5,29321,33292,217.1,172989,133229,9120,101360,29734,225763,3211,28056,15.9,49640,8.4,8113
249,2541,859,888,-67,1225,2302,6.5,5.942476977,46706,54354,9.5,640,2842,585,47.8,3230,32.1,84.8,2.345642231,3.514338536,11.23873365,123,26,5.285257173,8364,3.7,193.1,352,0.324485092,1067,4456,488,853,4,77.9,119,15.6,112,6.9,36.2,851,0,10.8,1097,874,218.2,6763,52,204,4333,996,8679,114,1166,12.6,50530,8.6,721
